"date","exp_condition","indivOrGroup","info_share_cost","confirmationID","amazonID","latency","totalEarning","bonus_for_waiting","completionFee","totalPayment","age","sex","country","q1","q2","q3","q4"
"20211116_1518","2","1","200","XJREJihe4lRXdVfcAAAJ","INHOUSETEST3","","0.11","0.02","0.8","0.9","sa","2","NA","4","3","4","asasa"
"20211116_1518","2","1","200","lmkGjE4qvWl_EULVAAAI","INHOUSETEST3","","0.11","0.03","0.8","0.9","21","1","NA","1","1","1",""
"20211116_1518","4","0","200","6nVP61XPLlu6qWnRAAAK","INHOUSETEST3","","0.00","0.02","0.8","0.8","","","NA","5","5","5","why zero reward??"
"20211116_1518","3","0","200","VGRc3P9zqy4vAb_JAAAL","INHOUSETEST3","","0.17","0.02","0.8","1","","","NA","-1","-1","-1",""
"20211116_1518","1","1","0","8IIoAAhKPdTG-zocAAAN","INHOUSETEST3","","0.14","0.02","0.8","1","5","1","NA","5","5","4","five"
"20211116_1518","1","1","0","s3XMzKqu_yxh3UieAAAM","INHOUSETEST3","","0.14","0.03","0.8","1","4","3","NA","3","3","2","four"
"20211116_1518","1","1","0","piIkOukY9DUU349iAAAQ","INHOUSETEST3","","0.14","0.04","0.8","1","3","3","NA","1","1","1","three"
"20211116_1518","1","1","0","NjGuTF_E4smuoOCCAAAO","INHOUSETEST3","","0.14","0.06","0.8","1","2","2","NA","4","3","3","two"
"20211116_1518","1","1","0","oddJjm5yRTlvjQogAAAP","INHOUSETEST3","","0.14","0.08","0.8","1","1","4","NA","-1","-1","-1","1"
"20211116_1518","1","1","20","ycr6MfsccNO__SvyAAAY","INHOUSETEST3","","0.13","0.05","0.8","1","","","NA","5","5","5","Safari"
"20211116_1518","1","1","20","ta4n2tR9ZWuoB6DiAAAX","INHOUSETEST3","","0.13","0.04","0.8","1","","","NA","4","4","4",""
"20211116_1518","1","1","20","9nQ04n8xBNEtiyONAAAW","INHOUSETEST3","","0.13","0.02","0.8","1","","","NA","4","3","4",""